author_country,publication_year,count
AE,2010,1
AM,2019,1
AR,2009,1
AR,2010,1
AR,2011,2
AR,2013,2
AR,2015,1
AR,2017,1
AR,2019,1
AT,1999,1
AT,2000,1
AT,2001,1
AT,2007,1
AT,2009,1
AT,2010,1
AT,2011,1
AT,2016,1
AU,1980,1
AU,1981,1
AU,2000,1
AU,2001,1
AU,2002,3
AU,2003,1
AU,2004,2
AU,2005,2
AU,2006,4
AU,2007,2
AU,2008,3
AU,2009,7
AU,2010,5
AU,2011,1
AU,2012,2
AU,2013,2
AU,2014,4
AU,2015,1
AU,2016,3
AU,2017,1
AU,2018,2
AU,2019,2
AU,2020,2
AU,2023,1
BD,2011,1
BD,2012,1
BD,2017,1
BD,2020,1
BE,1991,1
BE,1999,1
BE,2003,1
BE,2010,1
BE,2011,1
BE,2012,1
BE,2013,4
BE,2014,4
BG,2013,2
BG,2019,1
BR,1997,1
BR,2000,1
BR,2002,1
BR,2003,2
BR,2005,2
BR,2006,3
BR,2007,5
BR,2008,2
BR,2009,3
BR,2010,2
BR,2012,8
BR,2013,6
BR,2014,2
BR,2015,3
BR,2016,1
BR,2018,2
BR,2019,3
BR,2020,2
BR,2021,1
BR,2023,1
BY,2010,1
CA,1987,1
CA,1989,1
CA,1990,1
CA,1991,1
CA,1992,1
CA,1994,1
CA,1996,2
CA,2000,1
CA,2001,1
CA,2002,4
CA,2003,2
CA,2005,3
CA,2006,3
CA,2007,8
CA,2008,7
CA,2009,2
CA,2010,6
CA,2011,5
CA,2012,7
CA,2013,6
CA,2014,2
CA,2015,2
CA,2016,1
CA,2017,2
CA,2018,1
CA,2019,1
CA,2020,1
CA,2021,1
CA,2022,1
CH,1991,1
CH,1994,1
CH,1995,1
CH,1997,1
CH,2002,1
CH,2007,2
CH,2008,1
CH,2009,1
CH,2010,1
CH,2011,1
CH,2012,3
CH,2013,2
CH,2014,1
CH,2015,2
CH,2017,1
CH,2018,1
CH,2019,1
CH,2022,1
CL,2002,1
CL,2013,2
CL,2017,1
CM,2008,1
CM,2011,1
CN,1995,1
CN,1997,1
CN,2002,2
CN,2003,1
CN,2004,8
CN,2005,14
CN,2006,14
CN,2007,23
CN,2008,31
CN,2009,38
CN,2010,40
CN,2011,107
CN,2012,59
CN,2013,134
CN,2014,214
CN,2015,272
CN,2016,251
CN,2017,476
CN,2018,690
CN,2019,850
CN,2020,743
CN,2021,384
CN,2022,318
CN,2023,36
CN,2024,1
CZ,1997,1
CZ,1998,1
CZ,2001,1
CZ,2003,1
CZ,2004,1
CZ,2008,1
CZ,2009,1
CZ,2010,1
CZ,2011,1
CZ,2012,1
CZ,2016,2
CZ,2017,2
CZ,2019,2
CZ,2020,1
DE,1975,2
DE,1976,2
DE,1988,2
DE,1989,2
DE,1990,2
DE,1991,3
DE,1993,1
DE,1994,4
DE,1995,3
DE,1996,1
DE,1997,1
DE,1998,1
DE,1999,3
DE,2000,3
DE,2001,1
DE,2002,6
DE,2003,7
DE,2004,6
DE,2005,5
DE,2006,5
DE,2007,5
DE,2008,4
DE,2009,14
DE,2010,7
DE,2011,9
DE,2012,2
DE,2013,5
DE,2014,2
DE,2015,3
DE,2016,3
DE,2017,3
DE,2018,2
DE,2019,4
DE,2021,6
DE,2022,3
DK,2003,2
DK,2005,2
DK,2008,1
DK,2013,2
DK,2015,1
DK,2016,1
DK,2017,1
DK,2019,2
DZ,2015,1
EG,2005,1
EG,2006,1
EG,2009,3
EG,2010,3
EG,2011,2
EG,2012,1
EG,2013,1
EG,2014,3
EG,2016,1
EG,2017,3
EG,2018,5
EG,2019,6
EG,2020,7
EG,2021,10
EG,2022,8
EG,2023,2
EG,2024,1
ES,1999,1
ES,2001,2
ES,2002,7
ES,2003,1
ES,2004,6
ES,2005,6
ES,2006,6
ES,2007,3
ES,2008,4
ES,2009,4
ES,2010,7
ES,2011,6
ES,2012,7
ES,2013,2
ES,2014,5
ES,2015,6
ES,2016,5
ES,2017,2
ES,2018,1
ES,2020,1
ES,2021,2
ES,2022,1
ES,2023,1
FI,2009,3
FI,2010,2
FI,2011,1
FI,2019,1
FI,2020,1
FR,1981,1
FR,1992,1
FR,1994,1
FR,1997,1
FR,2000,1
FR,2001,3
FR,2002,1
FR,2003,4
FR,2004,3
FR,2005,3
FR,2006,5
FR,2007,2
FR,2008,3
FR,2009,5
FR,2010,10
FR,2011,8
FR,2012,8
FR,2013,10
FR,2014,7
FR,2015,3
FR,2016,7
FR,2017,7
FR,2018,3
FR,2019,3
FR,2021,2
FR,2022,2
GA,1999,1
GA,2001,1
GA,2002,1
GB,1976,1
GB,1992,1
GB,1994,2
GB,1998,4
GB,2000,3
GB,2001,2
GB,2002,10
GB,2003,2
GB,2004,5
GB,2005,6
GB,2006,9
GB,2007,6
GB,2008,15
GB,2009,11
GB,2010,4
GB,2011,14
GB,2012,6
GB,2013,9
GB,2014,6
GB,2015,3
GB,2016,2
GB,2017,7
GB,2018,4
GB,2019,6
GB,2020,3
GB,2021,3
GB,2022,2
GB,2023,1
GE,2003,1
GR,2002,1
GR,2005,1
GR,2006,1
GR,2007,2
GR,2009,1
GR,2012,3
GR,2013,1
GR,2016,2
GR,2017,1
GR,2018,2
GR,2020,1
HK,2004,2
HK,2005,1
HK,2006,2
HK,2007,3
HK,2008,2
HK,2010,1
HK,2011,2
HK,2012,1
HR,2007,1
HR,2008,1
HR,2020,1
HU,2008,2
HU,2010,1
HU,2013,1
HU,2015,1
HU,2018,1
ID,2021,1
ID,2022,1
IE,2002,1
IE,2004,2
IE,2005,1
IE,2006,4
IE,2007,2
IE,2009,1
IE,2010,1
IE,2011,2
IE,2012,2
IE,2013,2
IE,2014,2
IE,2016,1
IL,2000,1
IL,2001,5
IL,2002,1
IL,2003,3
IL,2004,1
IL,2006,2
IL,2007,4
IL,2008,1
IL,2009,1
IL,2010,2
IL,2011,4
IL,2012,2
IL,2014,3
IL,2016,1
IL,2017,2
IL,2021,1
IL,2022,1
IN,1992,1
IN,1998,1
IN,2001,1
IN,2002,2
IN,2003,1
IN,2004,4
IN,2005,4
IN,2006,10
IN,2007,9
IN,2008,10
IN,2009,12
IN,2010,13
IN,2011,20
IN,2012,29
IN,2013,34
IN,2014,30
IN,2015,23
IN,2016,19
IN,2017,12
IN,2018,21
IN,2019,13
IN,2020,12
IN,2021,10
IN,2022,8
IN,2023,2
IQ,2019,1
IQ,2021,1
IQ,2022,1
IR,2005,1
IR,2008,1
IR,2009,4
IR,2010,2
IR,2011,3
IR,2012,3
IR,2013,8
IR,2014,15
IR,2015,22
IR,2016,10
IR,2017,6
IR,2018,12
IR,2019,12
IR,2020,7
IR,2021,14
IR,2022,7
IR,2023,1
IT,1985,1
IT,1995,1
IT,1998,1
IT,2000,2
IT,2001,4
IT,2002,6
IT,2003,3
IT,2004,5
IT,2005,8
IT,2006,12
IT,2007,6
IT,2008,11
IT,2009,14
IT,2010,11
IT,2011,15
IT,2012,22
IT,2013,15
IT,2014,13
IT,2015,6
IT,2016,4
IT,2017,9
IT,2018,5
IT,2019,6
IT,2020,4
JP,1989,1
JP,1992,1
JP,1995,1
JP,1997,2
JP,1998,5
JP,1999,9
JP,2000,4
JP,2001,9
JP,2002,18
JP,2003,9
JP,2004,20
JP,2005,18
JP,2006,23
JP,2007,16
JP,2008,13
JP,2009,17
JP,2010,17
JP,2011,12
JP,2012,14
JP,2013,20
JP,2014,15
JP,2015,18
JP,2016,16
JP,2017,10
JP,2018,5
JP,2019,6
JP,2020,3
JP,2021,8
JP,2022,2
KE,2014,1
KR,1999,1
KR,2000,1
KR,2001,1
KR,2003,2
KR,2004,9
KR,2005,8
KR,2006,10
KR,2007,4
KR,2008,5
KR,2009,4
KR,2010,12
KR,2011,3
KR,2012,11
KR,2013,11
KR,2014,7
KR,2015,8
KR,2016,10
KR,2017,9
KR,2018,7
KR,2019,1
KR,2020,1
KR,2021,4
KR,2022,5
KZ,2022,1
LB,2004,2
LB,2010,1
LB,2015,1
LK,2016,1
LT,2011,1
LT,2017,1
LU,2009,1
LU,2010,1
LY,2017,1
MA,2008,1
MA,2012,1
MA,2021,1
MO,2018,1
MO,2022,1
MT,2021,1
MX,2000,1
MX,2011,2
MX,2012,1
MX,2013,1
MX,2015,1
MY,2007,1
MY,2012,3
MY,2013,3
MY,2014,6
MY,2015,3
MY,2016,6
MY,2017,3
MY,2018,1
MY,2020,1
MY,2021,1
N/A,1969,1
N/A,1978,1
N/A,1979,2
N/A,1980,2
N/A,1981,2
N/A,1984,1
N/A,1985,1
N/A,1986,3
N/A,1987,4
N/A,1990,1
N/A,1991,2
N/A,1993,1
N/A,1994,2
N/A,1995,4
N/A,1996,1
N/A,1997,4
N/A,2000,2
N/A,2001,4
N/A,2002,7
N/A,2003,5
N/A,2004,6
N/A,2005,8
N/A,2006,8
N/A,2007,12
N/A,2008,16
N/A,2009,19
N/A,2010,29
N/A,2011,19
N/A,2012,26
N/A,2013,16
N/A,2014,20
N/A,2015,20
N/A,2016,21
N/A,2017,22
N/A,2018,69
N/A,2019,123
N/A,2020,61
N/A,2021,18
N/A,2022,16
N/A,2023,6
NG,2006,1
NG,2012,1
NG,2019,1
NL,1990,1
NL,2007,5
NL,2008,4
NL,2010,4
NL,2011,4
NL,2012,2
NL,2013,1
NL,2014,1
NL,2016,3
NL,2017,1
NL,2019,1
NL,2021,1
NO,2001,1
NO,2002,1
NO,2003,2
NO,2005,1
NO,2007,1
NO,2008,1
NO,2011,1
NO,2013,2
NO,2016,1
NO,2017,1
NO,2018,2
NO,2019,2
NZ,2008,1
NZ,2009,1
NZ,2012,1
NZ,2019,1
OM,2013,1
OM,2022,1
PA,2010,1
PA,2013,1
PA,2019,1
PK,2011,1
PK,2012,1
PK,2015,2
PK,2017,1
PK,2020,1
PK,2021,9
PK,2022,3
PL,2001,1
PL,2006,1
PL,2007,1
PL,2008,2
PL,2009,2
PL,2011,2
PL,2012,2
PL,2013,2
PL,2014,8
PL,2015,2
PL,2016,4
PL,2017,1
PL,2022,1
PR,2016,1
PT,2002,1
PT,2010,1
PT,2011,2
PT,2013,1
PT,2014,1
QA,2021,1
RO,2011,1
RO,2016,1
RS,2005,3
RS,2007,1
RS,2008,1
RS,2009,1
RS,2010,4
RS,2013,2
RS,2015,1
RS,2020,1
RU,2007,2
RU,2008,1
RU,2011,2
RU,2012,2
RU,2013,1
RU,2014,2
RU,2015,1
RU,2016,3
RU,2019,1
RU,2022,1
SA,1992,1
SA,1998,1
SA,2011,1
SA,2012,2
SA,2013,3
SA,2014,2
SA,2015,3
SA,2016,1
SA,2017,1
SA,2019,1
SA,2020,8
SA,2021,12
SA,2022,6
SE,1991,1
SE,1996,1
SE,1997,1
SE,1998,1
SE,2002,2
SE,2003,1
SE,2005,1
SE,2007,2
SE,2008,2
SE,2009,2
SE,2010,1
SE,2011,4
SE,2012,5
SE,2013,7
SE,2014,6
SE,2015,1
SE,2016,1
SE,2017,3
SE,2019,2
SE,2020,1
SG,2001,1
SG,2002,2
SG,2004,1
SG,2006,1
SG,2007,4
SG,2008,4
SG,2009,2
SG,2010,3
SG,2011,4
SG,2012,4
SG,2014,2
SG,2017,1
SI,2002,1
SI,2013,1
SI,2014,1
SK,2004,2
SK,2005,1
TH,2006,1
TH,2007,1
TH,2009,1
TH,2011,1
TH,2013,2
TH,2014,3
TH,2016,1
TH,2017,1
TN,2005,1
TN,2009,1
TN,2011,1
TN,2014,1
TN,2016,1
TN,2020,2
TR,2000,1
TR,2003,1
TR,2004,1
TR,2006,3
TR,2010,3
TR,2012,2
TR,2014,1
TR,2015,3
TR,2018,1
TW,1996,1
TW,2002,2
TW,2004,1
TW,2005,1
TW,2006,1
TW,2007,2
TW,2008,4
TW,2009,1
TW,2010,5
TW,2011,2
TW,2012,6
TW,2013,8
TW,2014,8
TW,2015,10
TW,2016,8
TW,2017,3
TW,2018,1
TW,2022,1
TW,2023,1
UA,2014,1
US,1959,1
US,1973,1
US,1977,1
US,1978,4
US,1979,3
US,1980,4
US,1981,3
US,1982,1
US,1983,4
US,1984,3
US,1986,1
US,1987,1
US,1988,4
US,1989,9
US,1990,6
US,1991,6
US,1992,4
US,1993,4
US,1994,5
US,1995,9
US,1996,7
US,1997,9
US,1998,9
US,1999,11
US,2000,18
US,2001,25
US,2002,43
US,2003,46
US,2004,56
US,2005,67
US,2006,84
US,2007,75
US,2008,89
US,2009,88
US,2010,101
US,2011,116
US,2012,98
US,2013,81
US,2014,69
US,2015,49
US,2016,45
US,2017,34
US,2018,40
US,2019,22
US,2020,17
US,2021,16
US,2022,14
US,2023,3
ZA,2005,1
ZA,2012,1
ZA,2013,2
ZA,2017,1
ZA,2018,1
ZW,2007,1
